"","Plate3_016R_0_F_NS6_week5_S1_L001","Plate4_016R_R_F_NS6_week5_S1_L001","Plate4_1075R_0_M_NS6_week5_S2_L001","Plate4_1075R_RL_M_NS6_week5_S3_L001","Plate4_1184R_0_M_NS6_week5_S4_L001","Plate4_1186R_0_M_NS6_week5_S5_L001","Plate4_1186R_RR_M_NS6_week5_S6_L001","Plate4_184R_0_M_NS6_week5_S7_L001","Plate4_2403R_0_F_NS6_week5_S8_L001","Plate4_2476R_R_F_NS6_week5_S9_L001","Plate4_2562R_0_F_NS6_week5_S10_L001","Plate4_2562R_RL_F_NS6_week5_S11_L001","Plate1_1075R_0_M_NS6_week9_S72_L001","Plate2_016R_0_F_NS6_week9_S79_L001","Plate2_1075R_L_M_NS6_week9_S84_L001","Plate2_1184R_0_M_NS6_week9_S85_L001","Plate2_1186R_0_M_NS6_week9_S86_L001","Plate2_1186R_RR_M_NS6_week9_S87_L001","Plate2_184R_0_M_NS6_week9_S88_L001","Plate2_2403R_0_F_NS6_week9_S80_L001","Plate2_2476R_R_F_NS6_week9_S81_L001","Plate2_2562R_0_F_NS6_week9_S82_L001","Plate2_2562R_RL_F_NS6_week9_S83_L001","Plate3_016R_R_F_NS6_Pellet_week9_S2_L001","Plate3_1075R_RL_M_NS6_Pellet_week9_S3_L001","Plate1_1002R_0_M_NS6_week10_S69_L001","Plate1_1002R_L_M_NS6_week10_S70_L001","Plate1_184R_0_F_NS6_week10_S65_L001","Plate1_184R_L_F_NS6_week10_S66_L001","Plate1_2403R_L_F_NS6_week10_S67_L001","Plate1_2506R_0_F_NS6_week10_S68_L001","Plate1_3894R_0_M_NS6_week10_S71_L001"
"Phocaeicola_vulgatus",8548,4878,7436,6938,5390,4333,6776,4210,6941,6893,6997,5697,7724,5872,7127,6858,11667,9964,11638,6124,4142,9386,9755,5197,3683,10700,5222,4723,7536,7124,3943,9254
"Phocaeicola_dorei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,21,15,19,18,17,22,8,42,0,0,0,0,0,0,0,0,0
"Bacteroides_xylanisolvens",14850,9554,4799,10433,7578,6208,6612,8314,13406,11123,7223,8145,17507,10997,12812,14911,16831,17077,22186,12142,14667,17217,17311,11470,8970,22932,14221,10022,13805,15812,9560,17665
"Bacteroides_uniformis",7059,9843,6931,8346,4726,8474,12151,3116,5673,5930,6615,6855,4486,21778,17829,19279,16528,15037,17236,10681,15054,15384,16367,11998,4171,12379,9755,10794,16230,13430,4929,9207
"Akkermansia_massiliensis",11833,6087,4236,6364,6051,5989,4768,8072,8170,3820,4962,3207,6271,9728,6473,4886,6066,5988,6309,12969,7608,12051,11553,8151,5632,14348,12590,16528,7171,11144,13705,7210
"Escherichia_coli",2961,1404,410,955,1905,1444,942,182,872,785,1684,378,563,563,394,170,490,425,424,637,802,465,440,314,316,1313,591,451,603,409,3615,685
"Eisenbergiella_tayi",1716,0,0,0,0,2511,1795,0,356,568,1088,0,0,4302,78,110,6777,7397,0,2464,4371,4705,144,444,107,3810,4102,155,100,3356,2617,207
"Hungatella_effluvii",1921,1561,2287,2828,2247,424,1772,1473,3599,1424,1058,1653,2048,4122,4519,5888,4196,6115,4594,2636,2251,442,2284,2134,5048,3482,3174,4016,2686,2738,2070,7046
"Bacteroides_stercoris",1621,5734,639,3948,1503,4787,3558,4577,1190,1921,1711,2157,13591,2299,14614,16124,6148,8674,2193,19177,20797,2852,939,8530,20336,1772,13213,8641,10511,14199,10876,1966
"Parabacteroides_merdae",2359,1784,1980,3488,1768,1461,2637,2533,2387,3284,2420,1071,3638,7092,6527,8292,3330,5665,6174,4035,4893,4961,6147,7657,7205,5018,4707,4263,6315,6023,3085,6326
