"","Plate3_073R_R_M_S2_week5_S33_L001","Plate3_1067R_0_M_S2_week5_S34_L001","Plate3_1067R_L_M_S2_week5_S35_L001","Plate3_1152R_0_M_S2_week5_S36_L001","Plate3_1152R_L_M_S2_week5_S37_L001","Plate3_1152R_R_M_S2_week5_S38_L001","Plate3_1174R_0_M_S2_week5_S39_L001","Plate3_2404R_0_F_S2_week5_S40_L001","Plate3_2404R_L_F_S2_week5_S41_L001","Plate3_2446R_0_F_S2_week5_S42_L001","Plate3_2446R_RL_F_S2_week5_S44_L001","Plate3_2446R_R_F_S2_week5_S43_L001","Plate3_2453R_0_F_S2_week5_S45_L001","Plate3_2453R_L_F_S2_week5_S46_L001","Plate3_2453R_R_F_S2_week5_S47_L001","Plate3_3795R_L_F_S2_week5_S48_L001","Plate3_3880R_0_F_S2_week5_S49_L001","Plate3_3880R_L_F_S2_week5_S50_L001","Plate3_3880R_R_F_S2_week5_S51_L001","Plate3_3909R_L_M_S2_week5_S52_L001","Plate3_3918R_0_M_S2_week5_S53_L001","Plate3_3918R_L_M_S2_week5_S54_L001","Plate3_3918R_RL_M_S2_week5_S55_L001","Plate3_3918R_RR_M_S2_week5_S56_L001","Plate3_3969R_R_F_S2_week5_S57_L001","Plate3_3980R_0_F_S2_week5_S58_L001","Plate3_3980R_L_F_S2_week5_S59_L001","Plate3_3980R_R_F_S2_week5_S60_L001","Plate5_048R_S2_R_Female_week5_S61_L001","Plate5_1050R_S2_L_Male_week5_S68_L001","Plate5_1050R_S2_RR_Male_week5_S70_L001","Plate5_1050R_S2_R_Male_week5_S69_L001","Plate5_1127R_S2_0_Female_week5_S62_L001","Plate5_1127R_S2_R_Female_week5_S63_L001","Plate5_2514R_S2_L_Male_week5_S71_L001","Plate5_2514R_S2_R_Male_week5_S72_L001","Plate5_3995R_S2_0_Female_week5_S64_L001","Plate5_3995R_S2_L_Female_week5_S65_L001","Plate5_3995R_S2_RR_Female_week5_S67_L001","Plate5_3995R_S2_R_Female_week5_S66_L001","Plate5_3997R_S2_L_Male_week5_S73_L001","Plate5_3997R_S2_R_Male_week5_S74_L001","Plate2_073R_0_M_S2_week6_S53_L001","Plate2_1067R_R_M_S2_week6_S57_L001","Plate2_2404R_R_F_S2_week6_S36_L001","Plate2_2446R_L_F_S2_week6_S40_L001","Plate2_3795R_0_F_S2_week6_S44_L001","Plate2_3909R_0_M_S2_week6_S62_L001","Plate2_3918R_R_M_S2_week6_S66_L001","Plate2_3969R_0_F_S2_week6_S48_L001","Plate2_073R_0_M_S2_week7_S54_L001","Plate2_1067R_R_M_S2_week7_S58_L001","Plate2_2404R_R_F_S2_week7_S37_L001","Plate2_2446R_L_F_S2_week7_S41_L001","Plate2_3795R_0_F_S2_week7_S45_L001","Plate2_3909R_0_M_S2_week7_S63_L001","Plate2_3918R_R_M_S2_week7_S67_L001","Plate2_3969R_0_F_S2_week7_S49_L001","Plate1_1174R_0_M_S2_week9_S56_L001","Plate1_2446R_0_F_S2_week9_S55_L001","Plate2_073R_0_M_S2_week9_S55_L001","Plate2_1067R_R_M_S2_week9_S59_L001","Plate2_1152R_0_M_S2_week9_S60_L001","Plate2_2404R_R_F_S2_week9_S38_L001","Plate2_2446R_L_F_S2_week9_S42_L001","Plate2_3795R_0_F_S2_week9_S46_L001","Plate2_3909R_0_M_S2_week9_S64_L001","Plate2_3918R_R_M_S2_week9_S68_L001","Plate2_3969R_0_F_S2_week9_S50_L001","Plate2_3980R_0_F_S2_week9_S51_L001","Plate3_073R_R_M_S2_Pellet_week9_S61_L001","Plate3_1067R_0_M_S2_week9_S62_L001","Plate3_1067R_L_M_S2_week9_S63_L001","Plate3_1152R_L_M_S2_week9_S64_L001","Plate3_1152R_R_M_S2_week9_S65_L001","Plate3_2404R_0_F_S2_week9_S66_L001","Plate3_2404R_L_F_S2_week9_S67_L001","Plate3_2446R_RL_F_S2_Pellet_week9_S69_L001","Plate3_2446R_R_F_S2_Pellet_week9_S68_L001","Plate3_2453R_0_F_S2_Pellet_week9_S70_L001","Plate3_2453R_L_F_S2_Pellet_week9_S71_L001","Plate3_2453R_R_F_S2_Pellet_week9_S72_L001","Plate3_3795R_L_F_S2_week9_S73_L001","Plate3_3880R_0_F_S2_week9_S74_L001","Plate3_3880R_L_F_S2_week9_S75_L001","Plate3_3880R_R_F_S2_week9_S76_L001","Plate3_3909R_L_M_S2_week9_S77_L001","Plate3_3918R_0_M_S2_week9_S78_L001","Plate3_3918R_L_M_S2_week9_S79_L001","Plate3_3918R_RL_M_S2_week9_S80_L001","Plate3_3918R_RR_M_S2_week9_S81_L001","Plate3_3969R_R_F_S2_Pellet_week9_S82_L001","Plate3_3980R_L_F_S2_Pellet_week9_S83_L001","Plate3_3980R_R_F_S2_Pellet_week9_S84_L001","Plate5_048R_S2_R_Female_week9_S75_L001","Plate5_1050R_S2_L_Male_week9_S82_L001","Plate5_1050R_S2_RR_Male_week9_S84_L001","Plate5_1050R_S2_R_Male_week9_S83_L001","Plate5_1127R_S2_0_Female_week9_S76_L001","Plate5_1127R_S2_R_Female_week9_S77_L001","Plate5_2514R_S2_L_Male_week9_S85_L001","Plate5_2514R_S2_R_Male_week9_S86_L001","Plate5_3995R_S2_0_Female_week9_S78_L001","Plate5_3995R_S2_L_Female_week9_S79_L001","Plate5_3995R_S2_RR_Female_week9_S81_L001","Plate5_3995R_S2_R_Female_week9_S80_L001","Plate5_3997R_S2_L_Male_week9_S87_L001","Plate5_3997R_S2_R_Male_week9_S88_L001","Plate1_160R_0_F_S2_week10_S49_L001","Plate1_160R_L_F_S2_week10_S50_L001","Plate1_3795R_R_F_S2_week10_S51_L001","Plate1_3896R_0_M_S2_week10_S52_L001","Plate1_3896R_L_M_S2_week10_S53_L001","Plate1_3909R_R_M_S2_week10_S54_L001"
"Akkermansia_muciniphila",27383,25564,15824,23040,18398,18573,13660,22311,13876,16596,25088,19439,20582,17523,12090,25574,34198,26446,29157,21715,18436,16977,20642,25278,29930,30644,23355,20074,27858,37225,31132,24776,34793,22110,16124,26644,32492,22012,19440,21235,12025,29750,35098,21405,25636,30884,34681,54489,25681,20846,36861,50332,34917,25780,24852,31955,27731,32338,17760,22958,34852,20085,30402,12032,26397,30740,29464,19162,15287,40499,23579,14671,27721,25263,20206,24506,28358,20239,28703,25328,15133,18680,34175,51856,45105,19680,24678,17188,20548,27136,13505,24739,25001,25652,19492,25753,25444,28308,26627,49919,41322,25225,29283,14634,41288,35822,20153,22264,27672,36349,16516,23593,30960,29383
"Phocaeicola_vulgatus",3534,3978,6180,3259,6132,2657,3904,1210,6311,4686,2511,1199,2745,5037,779,3958,2215,1879,3022,2502,4699,3312,4147,1529,4410,3956,6552,3782,4022,7897,3936,3887,6282,7745,2415,1082,5426,3302,2531,3762,2535,4109,7523,3488,1152,1860,1380,6903,3877,1978,10813,2490,8922,5884,6976,8782,9687,10564,6407,8677,14636,12036,12099,13634,7029,9303,9468,9333,9489,7724,9680,11871,8813,6775,6624,8514,4665,13971,5726,5225,7296,4655,3618,2813,5620,5614,7745,8712,11779,8062,10429,7184,5883,6821,10291,8027,9223,6839,7090,12562,13458,24341,7330,9682,15641,12050,15538,7597,11790,5559,15973,6815,9097,8130
"Phocaeicola_dorei",20442,25381,18100,31686,32570,17720,23167,31648,23616,26720,19880,35477,22582,31261,25244,26889,15369,14692,20640,18293,24061,23082,19359,21279,23227,17651,24513,43461,22298,32609,28324,23620,16453,18580,16280,29698,31656,18601,25154,17500,32230,40733,28329,27438,35959,30302,14750,26797,20881,26168,26275,12728,22094,12917,12862,16411,16255,19957,16013,14643,12248,10482,19190,13315,11477,17417,9947,9379,18908,17460,22151,17392,13363,17884,12112,9203,8770,8090,10187,15112,11317,14251,9258,3373,11424,10219,10728,8296,8114,8130,7398,12706,10638,16091,7746,14311,23544,10799,16187,14950,14253,7529,9420,13423,13725,10885,14644,8713,11111,6211,16176,15142,21496,16459
"Bacteroides_xylanisolvens",0,0,0,0,0,0,0,0,26,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_uniformis",0,0,0,0,0,0,0,0,11,21,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,16,0,0,39,19,0,43,0,0,37,22,0,19,27,0,0,0,20,0,34,16,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akkermansia_massiliensis",0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Escherichia_coli",1563,5060,5268,4494,3019,2591,2902,2768,3369,1502,1412,1919,1396,1562,1512,2628,4553,3227,4732,2656,3813,3661,3339,5689,2639,1834,2241,2176,2172,2416,2382,1880,3032,2608,915,2847,8059,4987,3180,2924,1220,2993,1617,1534,1879,1471,847,2248,1535,2403,1018,1597,768,1112,1091,833,1017,941,996,1040,934,1079,1355,766,1277,1435,1199,707,980,2110,1113,1499,1561,804,743,1387,1768,1652,1331,1918,1570,965,1312,1678,1783,1042,1202,1050,1113,1227,1032,1686,2517,2293,960,1672,2560,1719,1914,781,1915,2429,2056,1959,4187,2808,1934,945,1331,2065,1034,909,1161,1247
"Eisenbergiella_tayi",2528,3221,2873,4132,3333,2675,2527,2653,2556,2486,4140,2934,1358,3566,4528,2534,2927,2797,2006,3036,3144,3620,4542,4687,3424,2629,3642,4547,4836,3693,2692,2065,3393,2526,2441,1462,4366,3289,3217,4335,4390,5132,1981,3829,1650,1773,1425,3907,4377,1875,2769,2344,1599,2178,1696,3473,3790,1968,2082,2013,2758,2822,3091,922,1730,1530,1625,656,2208,1791,2449,1716,2013,2024,1233,970,524,2835,1465,1732,2685,2019,1723,1498,2836,3234,813,230,990,728,821,2792,2774,3159,1052,3197,3257,2355,2579,5502,3860,4246,2792,3711,3730,4027,4253,2013,667,302,1438,1929,1710,752
"Hungatella_effluvii",4753,6758,4760,4631,8496,5091,6568,4929,7251,6976,6093,3713,3891,6133,3554,4774,3757,3535,4970,4712,5293,4709,4415,4844,7249,5881,10179,9900,3149,9306,6936,7097,6689,6817,4743,4152,5820,6065,4511,4048,3611,6274,7512,13250,4535,4571,3557,8663,8001,5373,9846,8314,2417,6251,3928,5949,10057,5360,7020,6615,7179,8981,9470,6098,3382,6451,10572,9921,6000,4383,5916,7284,6295,5912,4763,6510,8365,8212,4073,3878,10439,5542,5391,4533,6881,8809,8716,9526,11878,9078,9141,6091,8213,6816,4968,12504,17846,9719,9473,22645,13418,23553,7467,11465,13213,17196,17133,6928,3703,4504,7058,4267,5928,5204
"Bacteroides_stercoris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
